iter	MultiClass
0	1.437265832
1	1.314357185
2	1.223503607
3	1.154520538
4	1.09835431
5	1.050957723
6	1.007573371
7	0.9718710301
8	0.9410201678
9	0.91454981
10	0.8925560745
11	0.8704875012
12	0.8535835188
13	0.8358837134
14	0.8209867984
15	0.809127169
16	0.7963727894
17	0.784453873
18	0.7753768247
19	0.7657074586
20	0.7581049921
21	0.7509822355
22	0.7447902902
23	0.7395673219
24	0.7339792628
25	0.7284617487
26	0.7235297937
27	0.7189242381
28	0.7146509988
29	0.711651383
30	0.7092032831
31	0.7046948128
32	0.7018082672
33	0.6996098428
34	0.6973228542
35	0.6948830004
36	0.6933080416
37	0.6919778019
38	0.691063889
39	0.6889137993
40	0.68600882
41	0.6842531707
42	0.6827793622
43	0.6813453807
44	0.6802324027
45	0.678526407
46	0.6765855262
47	0.6762576005
48	0.6748740794
49	0.6725369394
50	0.6701619829
51	0.6687227582
52	0.6681774148
53	0.6671295187
54	0.6653845294
55	0.6631802484
56	0.6624847645
57	0.662016968
58	0.6616632479
59	0.6609534303
60	0.6591521322
61	0.6588592158
62	0.6587274864
63	0.6579604562
64	0.656585245
65	0.6553842692
66	0.6552463598
67	0.653621568
68	0.6526359801
69	0.6524420892
70	0.6521245793
71	0.6512082366
72	0.6506196813
73	0.6502220947
74	0.6493876299
75	0.6492102102
76	0.6481594935
77	0.6475798501
78	0.6474289831
79	0.6473687023
80	0.646774116
81	0.6462470496
82	0.6457062333
83	0.6453031967
84	0.6442041442
85	0.6436827041
86	0.6430514712
87	0.6429127953
88	0.6426160629
89	0.6421473767
90	0.6416761866
91	0.6410417506
92	0.6409306565
93	0.6404992885
94	0.6404437093
95	0.6401739882
96	0.6396668294
97	0.6390456383
98	0.6383605155
99	0.6376953106
100	0.6372856827
101	0.6371370837
102	0.6369199485
103	0.6363212997
104	0.6357461255
105	0.6353076532
106	0.6347264389
107	0.6342288017
108	0.6341674896
109	0.6340621257
110	0.6338852226
111	0.6330455255
112	0.6325604398
113	0.6321592106
114	0.6316283079
115	0.6308469536
116	0.6300885505
117	0.6292522308
118	0.6287411713
119	0.6279829324
120	0.6275303342
121	0.6266362883
122	0.6261385611
123	0.6258380303
124	0.6251659246
125	0.6245886226
126	0.6245001403
127	0.624427914
128	0.6243361084
129	0.6238971619
130	0.6235558791
131	0.6234274965
132	0.6232427805
133	0.6231196201
134	0.6230783756
135	0.6228462956
136	0.6222181695
137	0.6212781543
138	0.6211144629
139	0.6208588274
140	0.6207912338
141	0.6202575138
142	0.6199368752
143	0.6194729083
144	0.619170539
145	0.6186869424
146	0.6182319647
147	0.6176536683
148	0.6174373113
149	0.6171954601
150	0.6168350803
151	0.6165748789
152	0.6163412531
153	0.6156903027
154	0.6155521358
155	0.6152080694
156	0.6145685079
157	0.6141698231
158	0.6138027483
159	0.6133746718
160	0.612512983
161	0.6123029377
162	0.6121824808
163	0.6118454372
164	0.6116631618
165	0.6113550466
166	0.6112265847
167	0.6111810598
168	0.6111170626
169	0.6110240351
170	0.6109536742
171	0.6105106103
172	0.6102411997
173	0.6100832232
174	0.6095629611
175	0.6094478167
176	0.6093143093
177	0.6091524554
178	0.608685699
179	0.6084934109
180	0.6081991853
181	0.607423707
182	0.607255872
183	0.6070677274
184	0.6067989243
185	0.6065607525
186	0.6065122401
187	0.6062625189
188	0.6058709418
189	0.6054474704
190	0.6051316607
191	0.6048047974
192	0.6047097116
193	0.6043674016
194	0.604191765
195	0.6040683656
196	0.6035489292
197	0.6035139921
198	0.6033423248
199	0.6029693128
200	0.6029236705
201	0.6025874264
202	0.6024385226
203	0.6022103234
204	0.6021372273
205	0.6019265447
206	0.6017420365
207	0.6015242363
208	0.601175862
209	0.6010840657
210	0.601065272
211	0.6009433659
212	0.6009181766
213	0.6006683151
214	0.600582802
215	0.6005282615
216	0.6003066635
217	0.6000769522
218	0.6000355518
219	0.6000177306
220	0.5999080718
221	0.5996090744
222	0.5993184182
223	0.5991597759
224	0.5989921929
225	0.5989438107
226	0.5988922736
227	0.5986256365
228	0.5984102539
229	0.5981935456
230	0.5979248699
231	0.5978942144
232	0.5978208024
233	0.5977773413
234	0.5974654188
235	0.5973863907
236	0.5972026178
237	0.5970096638
238	0.5967936326
239	0.5964929759
240	0.596440841
241	0.596271227
242	0.5959686969
243	0.5956487783
244	0.5953906382
245	0.5952121132
246	0.5949262035
247	0.5948039099
248	0.5946598951
249	0.5944032713
250	0.594342504
251	0.5941588189
252	0.5939595469
253	0.5937703918
254	0.5935492172
255	0.5934511166
