iter	Passed	Remaining
0	30	30782
1	65	32445
2	94	31524
3	124	30910
4	151	30060
5	180	29951
6	208	29625
7	243	30246
8	279	30754
9	312	30916
10	344	31010
11	374	30856
12	402	30567
13	430	30308
14	457	30070
15	486	29944
16	514	29748
17	543	29627
18	574	29641
19	601	29457
20	627	29232
21	656	29164
22	687	29202
23	714	29054
24	744	29039
25	774	29010
26	802	28932
27	831	28869
28	865	28989
29	891	28840
30	918	28702
31	949	28713
32	977	28641
33	1002	28481
34	1030	28406
35	1058	28343
36	1084	28236
37	1111	28150
38	1138	28050
39	1166	27989
40	1195	27959
41	1226	27974
42	1254	27913
43	1281	27841
44	1308	27767
45	1333	27658
46	1360	27576
47	1386	27503
48	1417	27507
49	1447	27507
50	1483	27606
51	1510	27534
52	1536	27447
53	1564	27406
54	1600	27501
55	1628	27455
56	1654	27367
57	1679	27274
58	1704	27179
59	1731	27123
60	1761	27120
61	1792	27117
62	1818	27045
63	1843	26963
64	1874	26963
65	1901	26908
66	1925	26811
67	1957	26825
68	1984	26772
69	2010	26709
70	2035	26637
71	2063	26592
72	2089	26538
73	2117	26501
74	2144	26449
75	2173	26423
76	2203	26414
77	2227	26331
78	2252	26260
79	2276	26179
80	2301	26110
81	2327	26056
82	2353	26003
83	2382	25977
84	2414	25996
85	2450	26044
86	2476	25984
87	2499	25905
88	2525	25850
89	2550	25791
90	2578	25754
91	2605	25716
92	2637	25726
93	2677	25809
94	2702	25748
95	2726	25673
96	2753	25637
97	2782	25609
98	2809	25566
99	2836	25531
100	2862	25476
101	2885	25403
102	2909	25342
103	2936	25301
104	2966	25289
105	2993	25243
106	3018	25194
107	3044	25146
108	3068	25086
109	3094	25039
110	3118	24979
111	3152	24996
112	3179	24956
113	3205	24909
114	3234	24891
115	3260	24849
116	3289	24826
117	3315	24781
118	3344	24763
119	3375	24752
120	3402	24718
121	3429	24683
122	3455	24640
123	3481	24596
124	3509	24569
125	3538	24547
126	3565	24506
127	3590	24459
128	3614	24404
129	3643	24380
130	3670	24348
131	3696	24307
132	3724	24277
133	3769	24359
134	3802	24366
135	3885	24683
136	3959	24943
137	4002	24998
138	4037	25008
139	4066	24977
140	4091	24928
141	4129	24953
142	4161	24942
143	4188	24897
144	4211	24835
145	4237	24783
146	4261	24730
147	4290	24697
148	4313	24633
149	4343	24613
150	4372	24586
151	4396	24525
152	4418	24462
153	4447	24430
154	4470	24370
155	4493	24309
156	4517	24256
157	4544	24220
158	4576	24205
159	4607	24189
160	4633	24145
161	4659	24104
162	4683	24051
163	4707	23995
164	4732	23951
165	4766	23945
166	4795	23922
167	4819	23867
168	4841	23808
169	4864	23752
170	4886	23690
171	4910	23637
172	4933	23583
173	4962	23555
174	4987	23514
175	5010	23457
176	5035	23414
177	5060	23371
178	5086	23329
179	5108	23271
180	5134	23230
181	5165	23217
182	5189	23166
183	5212	23117
184	5237	23072
185	5262	23030
186	5286	22981
187	5315	22959
188	5343	22929
189	5376	22919
190	5406	22897
191	5435	22875
192	5463	22843
193	5490	22810
194	5515	22768
195	5545	22748
196	5576	22732
197	5602	22691
198	5628	22654
199	5656	22625
200	5680	22580
201	5707	22548
202	5734	22514
203	5765	22498
204	5795	22476
205	5822	22440
206	5850	22411
207	5877	22378
208	5905	22351
209	5934	22326
210	5959	22285
211	5988	22258
212	6018	22236
213	6049	22217
214	6077	22188
215	6100	22142
216	6124	22099
217	6147	22052
218	6169	22000
219	6192	21953
220	6219	21922
221	6248	21898
222	6272	21855
223	6296	21812
224	6320	21770
225	6342	21723
226	6364	21673
227	6388	21631
228	6416	21603
229	6440	21561
230	6464	21518
231	6489	21481
232	6512	21436
233	6534	21392
234	6560	21357
235	6582	21310
236	6606	21269
237	6634	21240
238	6660	21209
239	6685	21171
240	6708	21128
241	6733	21089
242	6757	21051
243	6781	21012
244	6805	20971
245	6830	20935
246	6856	20901
247	6881	20867
248	6907	20833
249	6932	20798
250	6955	20755
251	6978	20714
252	7001	20671
253	7026	20635
254	7049	20596
255	7078	20571
256	7105	20543
257	7131	20508
258	7153	20466
259	7177	20427
260	7200	20388
261	7223	20345
262	7247	20308
263	7269	20265
264	7297	20241
265	7323	20208
266	7345	20164
267	7368	20126
268	7391	20085
269	7415	20049
270	7439	20011
271	7463	19976
272	7487	19938
273	7509	19897
274	7537	19870
275	7560	19833
276	7586	19800
277	7609	19763
278	7632	19724
279	7658	19694
280	7684	19663
281	7709	19630
282	7736	19601
283	7759	19562
284	7783	19527
285	7806	19489
286	7829	19451
287	7855	19420
288	7882	19392
289	7907	19359
290	7932	19327
291	7957	19294
292	7979	19253
293	8002	19216
294	8027	19185
295	8050	19147
296	8073	19110
297	8098	19078
298	8121	19041
299	8148	19012
300	8176	18988
301	8199	18950
302	8222	18914
303	8246	18880
304	8271	18847
305	8292	18807
306	8314	18768
307	8339	18736
308	8361	18698
309	8388	18670
310	8410	18633
311	8438	18607
312	8461	18571
313	8485	18538
314	8507	18499
315	8531	18466
316	8553	18428
317	8579	18399
318	8604	18368
319	8629	18337
320	8651	18299
321	8675	18266
322	8698	18232
323	8719	18193
324	8744	18162
325	8765	18123
326	8791	18092
327	8816	18062
328	8840	18029
329	8864	17998
330	8887	17962
331	8908	17925
332	8932	17892
333	8957	17860
334	8982	17831
335	9007	17800
336	9031	17768
337	9055	17736
338	9079	17703
339	9101	17667
340	9125	17635
341	9146	17598
342	9169	17563
343	9190	17525
344	9213	17492
345	9241	17467
346	9264	17434
347	9286	17398
348	9311	17368
349	9334	17335
350	9356	17299
351	9378	17264
352	9399	17227
353	9425	17199
354	9450	17171
355	9475	17141
356	9498	17107
357	9523	17077
358	9544	17041
359	9565	17005
360	9588	16972
361	9613	16942
362	9637	16912
363	9665	16887
364	9687	16853
365	9714	16828
366	9737	16795
367	9761	16764
368	9789	16740
369	9816	16714
370	9842	16687
371	9874	16669
372	9900	16642
373	9930	16621
374	9959	16598
375	9987	16574
376	10021	16560
377	10049	16537
378	10090	16532
379	10123	16517
380	10154	16497
381	10180	16470
382	10212	16452
383	10240	16428
384	10275	16414
385	10304	16391
386	10336	16373
387	10366	16351
388	10393	16325
389	10422	16302
390	10453	16281
391	10481	16257
392	10514	16239
393	10544	16218
394	10572	16193
395	10601	16170
396	10632	16149
397	10661	16126
398	10694	16108
399	10728	16092
400	10758	16070
401	10788	16048
402	10823	16034
403	10856	16015
404	10886	15993
405	10917	15972
406	10949	15953
407	10981	15933
408	11010	15910
409	11041	15889
410	11071	15866
411	11101	15844
412	11133	15823
413	11165	15804
414	11192	15777
415	11225	15758
416	11252	15731
417	11280	15707
418	11312	15686
419	11341	15661
420	11379	15649
421	11407	15624
422	11439	15603
423	11472	15585
424	11503	15562
425	11535	15542
426	11569	15524
427	11598	15500
428	11626	15475
429	11656	15450
430	11685	15426
431	11718	15407
432	11746	15382
433	11777	15360
434	11812	15343
435	11845	15323
436	11877	15301
437	11909	15281
438	11942	15261
439	11970	15234
440	12004	15216
441	12037	15196
442	12068	15173
443	12099	15151
444	12132	15132
445	12166	15112
446	12197	15089
447	12230	15069
448	12262	15048
449	12295	15027
450	12331	15011
451	12364	14989
452	12396	14968
453	12429	14947
454	12465	14931
455	12495	14907
456	12525	14882
457	12557	14860
458	12588	14837
459	12619	14814
460	12649	14790
461	12683	14769
462	12715	14748
463	12745	14723
464	12773	14696
465	12805	14674
466	12836	14651
467	12864	14624
468	12898	14603
469	12935	14586
470	12963	14559
471	12995	14536
472	13025	14512
473	13056	14488
474	13088	14465
475	13120	14444
476	13155	14423
477	13185	14399
478	13213	14372
479	13243	14347
480	13271	14320
481	13299	14292
482	13329	14267
483	13366	14250
484	13397	14225
485	13427	14200
486	13458	14177
487	13488	14152
488	13522	14130
489	13554	14107
490	13587	14085
491	13617	14060
492	13645	14033
493	13677	14010
494	13709	13985
495	13742	13963
496	13773	13939
497	13805	13916
498	13838	13894
499	13873	13873
500	13903	13848
501	13934	13823
502	13965	13798
503	13995	13773
504	14030	13752
505	14061	13727
506	14090	13701
507	14120	13676
508	14151	13651
509	14183	13626
510	14213	13601
511	14251	13583
512	14280	13557
513	14308	13528
514	14340	13504
515	14368	13477
516	14400	13453
517	14431	13428
518	14467	13408
519	14498	13383
520	14529	13358
521	14561	13334
522	14595	13311
523	14626	13286
524	14658	13262
525	14692	13240
526	14721	13213
527	14753	13188
528	14783	13162
529	14817	13140
530	14849	13115
531	14882	13092
532	14913	13066
533	14944	13041
534	14972	13013
535	15003	12988
536	15033	12961
537	15063	12935
538	15092	12908
539	15127	12886
540	15156	12859
541	15191	12837
542	15227	12815
543	15256	12788
544	15286	12762
545	15319	12738
546	15352	12714
547	15382	12687
548	15411	12660
549	15442	12634
550	15468	12605
551	15498	12578
552	15532	12554
553	15565	12530
554	15596	12505
555	15631	12482
556	15660	12455
557	15689	12427
558	15720	12401
559	15755	12379
560	15787	12354
561	15816	12326
562	15848	12301
563	15877	12274
564	15907	12247
565	15937	12220
566	15970	12195
567	16005	12173
568	16035	12146
